id,number,name,sector_commission_id/id,active
branch_economic_activity_14_02,2,OPERADORES Y MECÁNICOS DE EQUIPO PESADO Y CAMINERO- DE EXCAVACIÓN- CONSTRUCCIÓN- INDUSTRIA Y OTRAS SIMILARES,sector_commission_14,True

branch_economic_activity_15_01,1,VENTA AL POR MENOR DE COMBUSTIBLES,sector_commission_15,True
branch_economic_activity_15_02,2,COMERCIO AL POR MAYOR Y MENOR,sector_commission_15,True

branch_economic_activity_16_01,1,AGENCIAS DE SERVICIOS TURÍSTICOS: INTERNACIONALES- OPERADORAS DE TURISMO- MAYORISTAS- DUAL (INTERNACIONAL Y OPERADORA),sector_commission_16,True
branch_economic_activity_16_02,2,ESTABLECIMIENTOS QUE PRESTAN SERVICIOS DE ALOJAMIENTO TURÍSTICO- HOTELEROS Y NO HOTELEROS,sector_commission_16,True
branch_economic_activity_16_03,3,ESTABLECIMIENTOS QUE PRESTAN SERVICIOS DE COMIDAS Y BEBIDAS,sector_commission_16,True
branch_economic_activity_16_04,4,SERVICIOS DE ALIMENTACIÓN: ABASTECIMIENTO DE COMIDA POR ENCARGO,sector_commission_16,True
branch_economic_activity_16_05,5,TRABAJADORES DE PARQUES NACIONALES Y ÁREAS NATURALES,sector_commission_16,True

branch_economic_activity_17_01,1,CHOFERES / CONDUCTORES,sector_commission_17,True
branch_economic_activity_17_02,2,ESTIBA DE PRODUCTOS AGRÍCOLAS DESTINADOS A LA EXPORTACIÓN,sector_commission_17,True
branch_economic_activity_17_03,3,OPERADORES Y MECÁNICOS DE EQUIPO PESADO EN ACTIVIDADES AGRÍCOLAS- AGROPECUARIAS Y AGROINDUSTRIALES,sector_commission_17,True
branch_economic_activity_17_04,4,OTRAS ACTIVIDADES RELACIONADAS CON TRANSPORTE- LOGÍSTICA Y ALMACENAMIENTO,sector_commission_17,True
branch_economic_activity_17_05,5,SISTEMA PORTUARIO ECUATORIANO CODG 706 - 702: RECINTOS PORTUARIOS- ESTIBADORES DE MERCADERÍAS EN BUQUES DE ALTO BORDO- TARJADORES DE MERCADERÍAS EN BUQUES DE ALTO BORDO,sector_commission_17,True
branch_economic_activity_17_06,6,TRÁFICO FLUVIAL- COSTANERO E INTERNACIONAL,sector_commission_17,True
branch_economic_activity_17_07,7,EMPRESAS DE TRANSPORTE AÉREO- EN SERVICIO REGULAR- NO REGULAR Y SERVICIOS AÉREOS- EN LOS SECTORES DE: TRIPULACIÓN- OPERACIÓN Y SERVICIOS EN TIERRA- MANTENIMIENTO- TRÁFICO- VENTAS Y ADMINISTRATIVO,sector_commission_17,True
branch_economic_activity_17_01_01,1,PROCESOS DE EMBARQUE Y DESEMBARQUE DE FRUTAS EN BUQUES DE ALTO BORDO,sector_commission_17,True
branch_economic_activity_17_02_02,2,ESTIBA DE PRODUCTOS AGRÍCOLAS DESTINADOS A LA EXPORTACIÓN,sector_commission_17,True
branch_economic_activity_17_03_03,3,EMPRESAS DE TRANSPORTE AÉREO- EN SERVICIO REGULAR- NO REGULAR Y SERVICIOS AÉREOS- EN LOS SECTORES DE: TRIPULACIÓN- OPERACIÓN Y SERVICIOS EN TIERRA- MANTENIMIENTO- TRÁFICO- VENTAS Y ADMINISTRATIVO,sector_commission_17,True


branch_economic_activity_18_01,1,ACTIVIDADES DE INTERMEDIACIÓN FINANCIERA- MONETARIA REALIZADA POR: BANCOS PRIVADOS- COOPERATIVAS- MUTUALISTAS- SOCIEDADES FINANCIERAS,sector_commission_18,True
branch_economic_activity_18_02,2,COMPAÑÍAS DE SEGUROS,sector_commission_18,True
branch_economic_activity_18_03,3,CASAS DE CAMBIO,sector_commission_18,True
branch_economic_activity_18_04,4,OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS: FIDUCIARIAS- BOLSAS DE VALORES Y MERCADOS FINANCIEROS,sector_commission_18,True

branch_economic_activity_19_01,1,ACTIVIDADES DE ALQUILER E INMOBILIARIA,sector_commission_19,True
branch_economic_activity_19_02,2,ACTIVIDADES EN MATERIA DE GESTIÓN ADMINISTRATIVA,sector_commission_19,True
branch_economic_activity_19_03,3,ACTIVIDADES PROFESIONALES,sector_commission_19,True
branch_economic_activity_19_04,4,SERVICIOS DE CALL / CONTACT CENTER- TELEMERCADEO,sector_commission_19,True
branch_economic_activity_19_05,5,SERVICIOS DE LIMPIEZA,sector_commission_19,True
branch_economic_activity_19_06,6,SERVICIOS DE SEGURIDAD PRIVADA Y OTROS SERVICIOS DE VIGILANCIA,sector_commission_19,True
branch_economic_activity_19_07,7,SERVICIOS TÉCNICOS,sector_commission_19,True
branch_economic_activity_19_08,8,PERIODISTAS PROFESIONALES,sector_commission_19,True

branch_economic_activity_20_01,1,CENTROS DE DESARROLLO INFANTIL,sector_commission_20,True
branch_economic_activity_20_02,2,EDUCACIÓN GENERAL BÁSICA,sector_commission_20,True
branch_economic_activity_20_03,3,EDUCACIÓN A NIVEL DE BACHILLERATO,sector_commission_20,True
branch_economic_activity_20_04,4,EDUCACIÓN SUPERIOR UNIVERSITARIA,sector_commission_20,True
branch_economic_activity_20_05,5,EDUCACIÓN SUPERIOR TÉCNICO / TECNOLÓGICO,sector_commission_20,True
branch_economic_activity_20_06,6,OTROS TIPOS DE ENSEÑANZA,sector_commission_20,True

branch_economic_activity_21_01,1,HOSPITALES- SANATORIOS- CLÍNICAS- CONSULTORIOS- LABORATORIOS Y OTRAS INSTITUCIONES DE ASISTENCIA SOCIAL,sector_commission_21,True
branch_economic_activity_21_02,2,OTRAS ACTIVIDADES DE SALUD,sector_commission_21,True

branch_economic_activity_22_01,1,ARTISTAS PROFESIONALES,sector_commission_22,True
branch_economic_activity_22_02,2,TEATROS Y CINES,sector_commission_22,True
branch_economic_activity_22_03,3,ESTUDIOS- LABORATORIOS FOTOGRÁFICOS Y PRODUCTORES DE FONOGRAMAS,sector_commission_22,True
branch_economic_activity_22_04,4,ACTIVIDADES DE ESPARCIMIENTO Y ACTIVIDADES CULTURALES Y DEPORTIVAS,sector_commission_22,True
branch_economic_activity_22_05,5,OTRAS ACTIVIDADES COMUNITARIAS,sector_commission_22,True
branch_economic_activity_22_06,6,PERIODISTAS/COMUNICADORES,sector_commission_22,True
branch_economic_activity_22_07,7,ACTIVIDADES DE CINEMATOGRAFÍA- RADIO Y TELEVISIÓN Y OTRAS ACTIVIDADES DE ENTRETENIMIENTO,sector_commission_22,True
branch_economic_activity_22_08,8,ARTISTAS PROFESIONALES,sector_commission_22,True
branch_economic_activity_22_09,9,ACTIVIDADES DE CINEMATOGRAFÍA- RADIO Y TELEVISIÓN Y OTRAS ACTIVIDADES DE ENTRETENIMIENTO,sector_commission_22,True
