id,code,name,city_id/id,active
res_parish_ec_323,8,San Gerardo De Pacaicaguán,res_city_49,True
res_parish_ec_324,9,San Isidro De Patulú,res_city_49,True
res_parish_ec_325,10,San José Del Chazo,res_city_49,True
res_parish_ec_326,11,Santa Fé De Galán,res_city_49,True
res_parish_ec_327,12,Valparaíso,res_city_49,True
res_parish_ec_328,,Pallatanga,res_city_50,True
res_parish_ec_329,1,Penipe,res_city_51,True
res_parish_ec_330,2,El Altar,res_city_51,True
res_parish_ec_331,3,Matus,res_city_51,True
res_parish_ec_332,4,Puela,res_city_51,True
res_parish_ec_333,5,San Antonio De Bayushig,res_city_51,True
res_parish_ec_334,6,La Candelaria,res_city_51,True
res_parish_ec_335,7,Bilbao (Cab.En Quilluyacu),res_city_51,True
res_parish_ec_336,,Cumandá,res_city_52,True
res_parish_ec_337,1,La Providencia,res_city_53,True
res_parish_ec_338,2,Machala,res_city_53,True
res_parish_ec_339,3,Puerto Bolívar,res_city_53,True
res_parish_ec_340,4,Nueve De Mayo,res_city_53,True
res_parish_ec_341,5,El Cambio,res_city_53,True
res_parish_ec_342,6,Machala,res_city_53,True
res_parish_ec_343,7,El Cambio,res_city_53,True
res_parish_ec_344,8,El Retiro,res_city_53,True
res_parish_ec_345,1,Arenillas,res_city_54,True
res_parish_ec_346,2,Chacras,res_city_54,True
res_parish_ec_347,3,La Libertad,res_city_54,True
res_parish_ec_348,4,Las Lajas (Cab. En La Victoria),res_city_54,True
res_parish_ec_349,5,Palmales,res_city_54,True
res_parish_ec_350,6,Carcabón,res_city_54,True
res_parish_ec_351,1,Paccha,res_city_55,True
res_parish_ec_352,2,Ayapamba,res_city_55,True
res_parish_ec_353,3,Cordoncillo,res_city_55,True
res_parish_ec_354,4,Milagro,res_city_55,True
res_parish_ec_355,5,San José,res_city_55,True
res_parish_ec_356,6,San Juan De Cerro Azul,res_city_55,True
res_parish_ec_357,7,Balsas,res_city_56,True
res_parish_ec_358,8,Bellamaría,res_city_56,True
res_parish_ec_359,1,Chilla,res_city_57,True
res_parish_ec_360,1,El Guabo,res_city_58,True
res_parish_ec_361,2,Barbones (Sucre),res_city_58,True
res_parish_ec_362,3,La Iberia,res_city_58,True
res_parish_ec_363,4,Tendales (Cab.En Puerto Tendales),res_city_58,True
res_parish_ec_364,5,Río Bonito,res_city_58,True
res_parish_ec_365,1,Ecuador,res_city_59,True
res_parish_ec_366,2,El Paraíso,res_city_59,True
res_parish_ec_367,3,Hualtaco,res_city_59,True
res_parish_ec_368,4,Milton Reyes,res_city_59,True
res_parish_ec_369,5,Unión Lojana,res_city_59,True
res_parish_ec_370,6,Huaquillas,res_city_59,True
res_parish_ec_371,1,Marcabelí,res_city_60,True
res_parish_ec_372,2,El Ingenio,res_city_60,True
res_parish_ec_373,1,Bolívar,res_city_61,True
res_parish_ec_374,2,Loma De Franco,res_city_61,True
res_parish_ec_375,3,Ochoa León (Matriz),res_city_61,True
res_parish_ec_376,4,Tres Cerritos,res_city_61,True
res_parish_ec_377,5,Pasaje,res_city_61,True
res_parish_ec_378,6,Buenavista,res_city_61,True
res_parish_ec_379,7,Casacay,res_city_61,True
res_parish_ec_380,8,La Peaña,res_city_61,True
res_parish_ec_381,9,Progreso,res_city_61,True
res_parish_ec_382,10,Uzhcurrumi,res_city_61,True
res_parish_ec_383,11,Cañaquemada,res_city_61,True
res_parish_ec_384,1,La Matriz,res_city_62,True
res_parish_ec_385,2,La Susaya,res_city_62,True
res_parish_ec_386,3,Piñas Grande,res_city_62,True
res_parish_ec_387,4,Piñas,res_city_62,True
res_parish_ec_388,5,Capiro (Cab. En La Capilla De Capiro),res_city_62,True
res_parish_ec_389,6,La Bocana,res_city_62,True
res_parish_ec_390,7,Moromoro (Cab. En El Vado),res_city_62,True
res_parish_ec_391,8,Piedras,res_city_62,True
res_parish_ec_392,9,San Roque (Ambrosio Maldonado),res_city_62,True
res_parish_ec_393,10,Saracay,res_city_62,True
res_parish_ec_394,12,Portovelo,res_city_63,True
res_parish_ec_395,13,Curtincapa,res_city_63,True
res_parish_ec_396,14,Morales,res_city_63,True
res_parish_ec_397,15,Salatí,res_city_63,True
res_parish_ec_398,1,Santa Rosa,res_city_64,True
res_parish_ec_399,2,Puerto Jelí,res_city_64,True
res_parish_ec_400,3,Balneario Jambelí (Satélite),res_city_64,True
res_parish_ec_401,4,Jumón (Satélite),res_city_64,True
res_parish_ec_402,5,Nuevo Santa Rosa,res_city_64,True
res_parish_ec_403,6,Santa Rosa,res_city_64,True
res_parish_ec_404,7,Bellavista,res_city_64,True
res_parish_ec_405,8,Jambelí,res_city_64,True
res_parish_ec_406,9,La Avanzada,res_city_64,True
res_parish_ec_407,10,San Antonio,res_city_64,True
res_parish_ec_408,11,Torata,res_city_64,True
res_parish_ec_409,12,Victoria,res_city_64,True
res_parish_ec_410,13,Bellamaría,res_city_64,True
res_parish_ec_411,16,Zaruma,res_city_65,True
res_parish_ec_412,17,Abañín,res_city_65,True
res_parish_ec_413,18,Arcapamba,res_city_65,True
res_parish_ec_414,19,Guanazán,res_city_65,True
res_parish_ec_415,20,Guizhaguiña,res_city_65,True
res_parish_ec_416,21,Huertas,res_city_65,True
res_parish_ec_417,22,Malvas,res_city_65,True
res_parish_ec_418,23,Muluncay Grande,res_city_65,True
res_parish_ec_419,24,Sinsao,res_city_65,True
res_parish_ec_420,25,Salvias,res_city_65,True
